transactionHash,if_is_anomaly,ae_is_anomaly,fusion_union_anom,fusion_intersection_anom,fusion_ensemble_anom,if_anom_score,ae_anom_score,fusion_score
0x7cb6acd783ba1ae309624fe951708b7a0976edc22876abd21151bfb13e0c1412,False,False,False,False,False,0.0791946990032016,0.00026649449682543375,0.03973059675001352
0xb6efbc2203d64fc6a954ca6b6567ac29288245f545c013df5dd67a7336dbcc64,False,False,False,False,False,0.10301081304790188,0.00017755328048734442,0.05159418316419461
0x9823bea583f340e2f68bc24a22b1658e4039da2be10a13cef6168bc62ac5f984,False,False,False,False,False,0.056721489769293094,0.0001353230135051867,0.028428406391399142
0x85705b8e3354bd2c6f9cfb5d721e356bd648b35727daf8d63c6b6bda5b378839,False,False,False,False,False,0.05901702981711822,6.414585831944696e-05,0.029540587837718832
0x7874151f1afc3a9039774aa8a631470d50b453958ecbf138c3a8734100fb49ce,False,False,False,False,False,0.06339096439287185,6.718476175748338e-05,0.03172907457731467
0xf54cbfe1220c0ad4f9eea2175787fc872b66b3e6cf84af27b7bf7c8348ffb8b5,False,False,False,False,False,0.07140140025258176,6.31756686607437e-05,0.03573228796062126
0x734f144821fa621360673c5321f24a923d5c237fa325565db7f80f6e72942eaa,False,False,False,False,False,0.07417133768471826,8.373733198742471e-05,0.03712753750835284
0x8eefcb14bdd2bf21a51b6ee5d78dd7af8445a34eda0a9f1e7bd8b93792ebef25,False,False,False,False,False,0.08613332297393833,0.00017245985042125105,0.04315289141217979
0x1cdcba53bc0db8e7f5103a5ef18fb10ff0367871a0422ce4bce88f30c36d0a57,False,False,False,False,False,0.061834650394053385,0.00012196871957251385,0.03097830955681295
0x8e13f117ce28e90bb2af2556c3281c5d302fd73a0703e5ecde0090e6330fdc73,False,False,False,False,False,0.0671734607327919,9.041394164421764e-05,0.03363193733721806
0x4e52d6e610ab61697570ba1ae35ae70b637e1deb663dc6429b747c7ffa0c1dae,False,False,False,False,False,0.07091862926372912,0.00017261679049086813,0.03554562302710999
0xc7758b27d0f9ca08b6e89ef5e52de54a98b27a8d8c379c2f05a23042f3593447,False,False,False,False,False,0.15365388446921255,0.0004181514172157044,0.07703601794321413
0xf0ded0afaad60954689e9f7b522cce9699ae4ba716bdd519199040f56dd6c404,False,False,False,False,False,0.07875237701455814,8.640063084697214e-05,0.03941938882270256
0xb7c21bf9046e85469642212f2f7d54af9fe8aa12145839525369fb5fc63f049e,False,False,False,False,False,0.08346507573889511,0.00021415694747739799,0.04183961634318625
0xb9f51b7e21bbc085c1fc461f2ce2862bf4fbb77664c73080d436ab9f9f3b6b12,False,False,False,False,False,0.09820886758004749,0.00019161771749326483,0.049200242648770376
0x886f602129a4ac35d9d84963cc8aa7cb34b23e23a6559a0503f2f31bdacdb667,False,False,False,False,False,0.07018459566586016,0.00018168197179251638,0.035183138818826336
0xf035dbd383a11b403d2a2345698170f71b2a9c59abe0a3f5984fb36d90a3b2a9,False,False,False,False,False,0.2586397558899335,0.0005564970496133317,0.12959812646977342
0xd3ed40d860aceeb057f6f0bbc15a9845c0fb23ec4052ce200cac7b1cdb3f603b,False,False,False,False,False,0.06854586487217873,5.393948362670759e-05,0.03429990217790272
0x2f0dbe52e60e61f6a51c3bbb87e5d56cda13fde4cb872cfc7773ffbfffee9bdf,False,False,False,False,False,0.06751143905531742,0.00011316571246825366,0.03381230238389284
0x9ec5c87effb833c1c72cdcbdaea38b78db14ad66cd7cd1bbe3f0584c43d1e9e7,False,False,False,False,False,0.07378964697865402,0.00013503300704960426,0.03696233999285181
0xbc3223aa8ae14e1c453ff1e44d4c0ad25285f70115d154f380ec30cb0a0e1a0b,False,False,False,False,False,0.07948993200655476,0.00011655578131715355,0.039803243893935955
0x763ac2c9bc5cebe9cc988ec5d7f6477ec3265682af4ccca15f7dbc7537a18fc4,False,False,False,False,False,0.06830953565560127,5.830092121257734e-05,0.034183918288406924
0x0cea66eea0cb1d2e0e47c8893d612920e5d29f532b2b54cc7a9738b5ab3ec09f,False,False,False,False,False,0.07528096827246351,0.00014873932814706882,0.037714853800305294
0x65e97aea2723fa3d7dcac3f1e16b2e5c5ea36ceb1332e02a28ed0de14a7eebd1,False,False,False,False,False,0.09434501378292248,0.00020949808372431057,0.047277255933323395
0xcb8274871f2049f23ca995fee0248bc0e1c2112571810673d8d22f13f8f7d3b7,False,False,False,False,False,0.0685449545732224,0.00015462011520289817,0.03434978734421265
0x6809610dba7611a1bebfa4b41d91b03781476ed52545f69913ef7b64c50b0bce,False,False,False,False,False,0.07285323655621129,0.00010040250547247433,0.03647681953084188
